NZ_NRPJ01000016.1,11649,16253,NZ_CP041776.1_merged_d4000,1,4606,97.091,4606,0.0
NZ_NRPJ01000016.1,16897,17031,NZ_CP041776.1_merged_d4000,4467,4603,91.971,137,5.50e-49
NZ_NRPJ01000016.1,14789,14851,NZ_CP041776.1_merged_d4000,2191,2253,95.238,63,9.54e-22
NZ_NRPJ01000016.1,13839,13901,NZ_CP041776.1_merged_d4000,3141,3203,95.238,63,9.54e-22
NZ_NRPJ01000016.1,10752,12405,NZ_CP041776.1_merged_d4000,3347,5000,97.037,1654,0.0
NZ_NRPJ01000016.1,10327,10766,NZ_CP041776.1_merged_d4000,486,927,88.341,446,3.69e-150
NZ_NRPJ01000016.1,44061,44521,NZ_CP041776.1_merged_d4000,6186,5727,87.097,465,2.22e-147
NZ_NRPJ01000016.1,1,162,NZ_CP041776.1_merged_d4000,5439,5278,98.765,162,1.90e-78
NZ_NRPJ01000016.1,14,152,NZ_CP041776.1_merged_d4000,139,1,99.281,139,2.49e-67
NZ_NRPJ01000016.1,44476,44521,NZ_CP041776.1_merged_d4000,485,440,100.000,46,2.67e-17
NZ_BMDB01000001.1,442573,444650,NZ_CP041776.1_merged_d4000,9998,7921,99.663,2078,0.0
NZ_BMDB01000001.1,440070,441070,NZ_VRVO01000009.1:35595-47562_merged_d4000,1001,1,100.000,1001,0.0
NZ_BMDB01000001.1,442248,443248,NZ_RXOX01000014.1:33086-45053_merged_d4000,1001,1,100.000,1001,0.0
NZ_BMDB01000001.1,440071,441070,NZ_SIYF01000226.1:1-7547_merged_d4000,1,1000,100.000,1000,0.0
