NZ_NRPJ01000016.1,10752,14405,NZ_CP041776.1_merged_d2000,1347,5000,97.510,3654,0.0
NZ_NRPJ01000016.1,44061,44521,NZ_CP041776.1_merged_d2000,8186,7727,87.097,465,5.22e-147
NZ_NRPJ01000016.1,1,162,NZ_CP041776.1_merged_d2000,7439,7278,98.765,162,4.46e-78
NZ_NRPJ01000016.1,14789,14851,NZ_CP041776.1_merged_d2000,4434,4496,95.238,63,2.24e-21
NZ_NRPJ01000016.1,13649,16253,NZ_CP041776.1_merged_d2000,1,2606,96.738,2606,0.0
NZ_NRPJ01000016.1,16897,17031,NZ_CP041776.1_merged_d2000,2467,2603,91.971,137,1.29e-48
NZ_NRPJ01000016.1,14789,14851,NZ_CP041776.1_merged_d2000,191,253,95.238,63,2.24e-21
NZ_NRPJ01000016.1,13839,13901,NZ_CP041776.1_merged_d2000,1141,1203,95.238,63,2.24e-21
NZ_NRPJ01000016.1,5,162,NZ_VRVM01000026.1:1-9766_merged_d2000,1,158,98.734,158,7.46e-76
NZ_NRPJ01000016.1,44,162,NZ_SEWT01000023.1:2825-12971_merged_d2000,4180,4062,99.160,119,7.68e-56
NZ_BMDB01000001.1,438067,441070,NZ_VRVO01000009.1:35595-47562_merged_d2000,3005,1,99.834,3005,0.0
NZ_BMDB01000001.1,438071,441070,NZ_SIYF01000226.1:1-7547_merged_d2000,1,3000,99.867,3000,0.0
NZ_BMDB01000001.1,440906,443248,NZ_RXOX01000014.1:33086-45053_merged_d2000,2343,1,100.000,2343,0.0
NZ_BMDB01000001.1,437943,439558,NZ_RXOX01000014.1:33086-45053_merged_d2000,4613,2997,98.764,1618,0.0
NZ_BMDB01000001.1,437982,438944,NZ_VRVM01000026.1:1-9766_merged_d2000,2175,1213,99.273,963,0.0
NZ_BMDB01000001.1,437982,438944,NZ_VRVK01000016.1:1-8214_merged_d2000,1309,347,99.273,963,0.0
NZ_BMDB01000001.1,437982,438937,NZ_VRVP01000006.1:37474-49441_merged_d2000,2045,3000,99.477,956,0.0
NZ_BMDB01000001.1,437982,438937,NZ_UARO01000062.1:14469-26436_merged_d2000,2045,3000,99.477,956,0.0
NZ_BMDB01000001.1,437982,438937,NZ_UARO01000006.1:14456-26423_merged_d2000,2045,3000,99.477,956,0.0
NZ_BMDB01000001.1,437982,438937,NZ_SEWT01000023.1:2825-12971_merged_d2000,2045,3000,99.477,956,0.0
NZ_BMDB01000001.1,437982,438939,NZ_VRVN01000011.1:17424-29391_merged_d2000,3956,2999,99.374,958,0.0
NZ_BMDB01000001.1,437982,438936,NZ_VHJE01000029.1:389-12356_merged_d2000,3956,3002,99.476,955,0.0
NZ_BMDB01000001.1,437983,438937,NZ_VDMY01000004.1:344362-356329_merged_d2000,2046,3000,99.476,955,0.0
NZ_BMDB01000001.1,437986,438937,NZ_SEWU01000014.1:1-7462_merged_d2000,952,1,99.580,952,0.0
NZ_BMDB01000001.1,437986,438936,NZ_SEWV01000015.1:1-7521_merged_d2000,951,1,99.579,951,0.0
NZ_BMDB01000001.1,444571,444650,NZ_CP041776.1_merged_d2000,10000,9921,91.250,80,8.13e-23
