accession,target_gene_start,target_gene_end,sequence_length,hypo_mob_seg_start,hypo_mob_seg_end,upstream_start,upstream_end,downstream_start,downstream_end
NZ_CP041776.1,17780,19747,58593,5780,31747,780,5780,31747,36747
NZ_CP041776.1,13537,15504,58593,1537,27504,0,1537,27504,32504
NZ_RXOX01000014.1:33086-45053,5001,6968,11968,0,11968,0,0,11968,11968
NZ_SEWT01000023.1:2825-12971,5001,6968,10147,0,10147,0,0,10147,10147
NZ_SEWU01000014.1:1-7462,495,2462,7462,0,7462,0,0,7462,7462
NZ_SEWV01000015.1:1-7521,554,2521,7521,0,7521,0,0,7521,7521
NZ_SIYF01000226.1:1-7547,580,2547,7547,0,7547,0,0,7547,7547
NZ_SSXM01000036.1:1-6882,4463,6430,6882,0,6882,0,0,6882,6882
NZ_SSXN01000002.1:170394-182361,5001,6968,11968,0,11968,0,0,11968,11968
NZ_SSXP01000023.1:1-5517,3119,5086,5517,0,5517,0,0,5517,5517
NZ_UARO01000006.1:14456-26423,5001,6968,11968,0,11968,0,0,11968,11968
NZ_UARO01000062.1:14469-26436,5001,6968,11968,0,11968,0,0,11968,11968
NZ_VDMY01000004.1:344362-356329,5001,6968,11968,0,11968,0,0,11968,11968
NZ_VHJE01000029.1:389-12356,5001,6968,11968,0,11968,0,0,11968,11968
NZ_VHRR01000011.1:56428-68395,5001,6968,11968,0,11968,0,0,11968,11968
NZ_VRVK01000016.1:1-8214,2353,4320,8214,0,8214,0,0,8214,8214
NZ_VRVL01000001.1:29761-41728,5001,6968,11968,0,11968,0,0,11968,11968
NZ_VRVM01000026.1:1-9766,3219,5186,9766,0,9766,0,0,9766,9766
NZ_VRVN01000011.1:17424-29391,5001,6968,11968,0,11968,0,0,11968,11968
NZ_VRVO01000009.1:35595-47562,5001,6968,11968,0,11968,0,0,11968,11968
NZ_VRVP01000006.1:37474-49441,5001,6968,11968,0,11968,0,0,11968,11968
NZ_VRVQ01000001.1:631138-643105,5001,6968,11968,0,11968,0,0,11968,11968
